0 "7½" 0 8.62 14
1 "6" 1.375 8.62 14
2 "4½" 1.375 8.62 14
3 "3" 1.375 8.05 20
4 "1½" 1.21875 7.86 22
5 "0" 1.5 7.65 24
6 "1½" 1.5 7.65 24
7 "3" 1.21875 7.65 24
8 "4½" 1.25 7.65 24
9 "6" 1.25 7.77 23
10 "7½" 1.25 7.77 23
11 "9" 1.25 7.83 22
12 "10½" 1.25 7.96 21
13 "12" 1.25 8.03 20
14 "13½" 1.25 8.03 20
15 "15" 1.25 8.14 19
16 "16½" 1.25 8.33 17
17 "18" 1.25 8.33 17
18 "19½" 1.25 8.33 17
19 "21" 1.25 8.44 16
20 "22½" 1.25 8.44 16
21 "24" 1.25 8.53 15
22 "25½" 1.25 8.62 14
23 "27" 1.25 8.83 12
24 "28½" 1.25 8.83 12
25 "30" 1.25 8.83 12
26 "31½ "1.25 8.83 12
27 "33 "1.25 8.83 12
28 "34½" 1.25 8.83 12
29 "36" 1.25 8.83 12
30 "37½" 1.25 8.83 12
# Lower Extremity template - 50 mm Hg R, Form 58642
