0012 Double Waist band				M, W	
0013 Half Arm Sleeve with Flap			A
0014 Ear Flap					M, F
0015 Knee Band					L
0016 Arm Band					A
0017 Head Band					F
0018 Torso band					B
0019 Thigh Band					L
0020 Extra heel Reinforcement			M, L, W
0021 Reinforced Palm				G
0023 1 yard 1" elastic				M
0024 Reinfoced top of waist height		M, W
0025 Individual Finger				G
0026 Penis Support				M, W
0027 Pockets					All
0034 Det. Turtleneck				V
0035 Chap Style, One Leg			L
0036 Chap Style, Two Legs			L
0039 Panty, One leg Stump			W
0040 Behind knee lining				M, L, W
0043 Adjustment to garments			All
0101 Knee Length				L
0105 Anklet					L
0201 Thigh Length				L
0501 Arm Sleeve(wrist to axilla)		A
0502 Arm Sleeve and Gauntlet			A
0503 Arm Sleeve and Shoulder Flap		A
0504 Glove to Elbow				G
0505 Gauntlet					A
0515 Forearm Sleeve (wrist to elbow)		A
0515 Forearm Sleeve and Gauntlet		A
0525 Sleevless Vest				V
0527 Vest with long sleeves			V
0528 Vest with short sleeves			V
0530 Sleeveless Brief				B
0531 Brief with long sleeves			B
0532 Body Brief with short sleeves		B
0533 Glove to Axilla				G
0535 Glove to Wrist				G
0536 Interdigital Web Spacer			G
0537 Mitten					G
0538 Foot Glove					
0539 Foot Glove to Knee				
0540 Face Mask					F
0545 Chin Extension Collar			F
0549 Modified Chin strap			F
0550 Chin Strap					F
0558 Sleeveless Suit				B
0560 Suit with long sleeves			B
0561 Suit with short sleeves			B
1101 Waist Height, Two Legs			W
1102 Waist Height, Two Legs, Open Pubis		W
1103 Waist Height, One Leg, Open Pubis		W
1104 Chest Height, Two legs, Pregnancy		W
1110 Panty Girdle, Below Knee, Open Pubis	W
1111 Panty Girdle, Below Knee, Closed Pubis	W
1112 Waist Height, One Leg, Panty, Open Pubis	W
1113 Waist Height, One Leg, Panty		W
1119 Panty Girdle				W
1120 Panty Brief				W
1122 Panty Girdle, Open Pubis			W
1130 Stump Support (AK)				L
1131 Stump Support (BK)				L
1132 Waist Height, One Stump			W
1133 Waist Height, Two Stump			W
1135 Waist Height, One Leg, plus Stump		W
1135 Waist Height, One Leg, plus Stump, Open	W
1140 Stump Sleeve (Closed end to axilla)	A
1141 Stump Sleeve and Shoulder Flap		A
1158 Open Face Mask				F
1159 Self enclosed toe				M, L, W
1160 Soft enclosed toe				M, L, W
1161 Reduced Pressure Abdominal Panty		M, L, W, B
1162 Attach Suspenders				M
1163 Velcro Tabs				M
1164 Zippers (less than 23 cm.)			M
1165 Zippers (over 23 cm.)			M
1166 Lip Covering				F
1167 Lining Inside Elbow			M, A
1168 Lining Full Elbow				M, A
1169 Slant Inserts				M, G
1170 Attach Gauntlet, Body Suit plus vest	V, B
1172 Adjustable Shoulder Flap			M, A
1173 Pregnancy Suport after alteration		M, W, B
1174 Pregnancy Suport during alteration		M, W, B
1175 Double Abdominal Panel			M, W, B
1176 Uplift Panel				M, W
1184 Reinforced top of Thigh			M, L
1185 Reinforced inner Thigh			M, W, L
1186 Reinforced Knee				M, W, L
1187 Reinforced Heel				M, W, L
