\,Version Number Major,Version Number Minor,Version Number Build,
~Components Details File,1,5,4,
!Type,Materail Type,Common Length,Mills Part No.,Kwikstage Part No.
DECKING PLANK,STEEL,700,109408,107407
DECKING PLANK,STEEL,1200,109412,107412
DECKING PLANK,STEEL,1800,109418,107418
DECKING PLANK,STEEL,2400,109424,107424
DECKING PLANK,TIMBER,700,109508,107507
DECKING PLANK,TIMBER,1200,109512,107512
DECKING PLANK,TIMBER,1800,109518,107518
DECKING PLANK,TIMBER,2400,109524,107524
LAPBOARD,TIMBER,1200,103312,103312
LAPBOARD,TIMBER,1800,103318,103318
LAPBOARD,TIMBER,2400,103324,103324
STAGE BOARD,STEEL,700,109408,107407
STAGE BOARD,STEEL,1200,109412,107412
STAGE BOARD,STEEL,1800,109418,107418
STAGE BOARD,STEEL,2400,109424,107424
STAGE BOARD,TIMBER,700,109508,107507
STAGE BOARD,TIMBER,1200,109512,107512
STAGE BOARD,TIMBER,1800,109518,107518
STAGE BOARD,TIMBER,2400,109524,107524
LEDGER,STEEL,700,109108,107108
LEDGER,STEEL,1200,109112,107112
LEDGER,STEEL,1800,109118,107118
LEDGER,STEEL,2400,109124,107124
TRANSOM,STEEL,700,109208,107208
TRANSOM,STEEL,1200,109212,107212
TRANSOM,STEEL,1800,109218,107218
TRANSOM,STEEL,2400,109224,107224
MESH GUARD,STEEL,700,109841,107829
MESH GUARD,STEEL,1200,109837,107830
MESH GUARD,STEEL,1800,109838,107831
MESH GUARD,STEEL,2400,109839,107832
RAIL,STEEL,700,109108,107208
RAIL,STEEL,1200,109112,107212
RAIL,STEEL,1800,109118,107118
RAIL,STEEL,2400,109124,107124
MID RAIL,STEEL,700,109108,107208
MID RAIL,STEEL,1200,109112,107212
MID RAIL,STEEL,1800,109118,107118
MID RAIL,STEEL,2400,109124,107124
TOE BOARD,STEEL,700,109408,107407
TOE BOARD,STEEL,1200,109412,107412
TOE BOARD,STEEL,1800,109418,107418
TOE BOARD,STEEL,2400,109424,107424
TOE BOARD,TIMBER,700,109508,107507
TOE BOARD,TIMBER,1200,109512,107512
TOE BOARD,TIMBER,1800,109518,107518
TOE BOARD,TIMBER,2400,109524,107524
CHAIN LINK,STEEL,0,SP7014,SP7014
SHADE CLOTH,OTHER,0,SP7013,SP7013
TIE TUBE,STEEL,300,101103,101103
TIE TUBE,STEEL,600,101106,101106
TIE TUBE,STEEL,900,101109,101109
TIE TUBE,STEEL,1200,101112,101112
TIE TUBE,STEEL,1500,101115,101115
TIE TUBE,STEEL,1800,101118,101118
TIE TUBE,STEEL,2100,101121,101121
TIE TUBE,STEEL,2400,101124,101124
TIE TUBE,STEEL,2700,101127,101127
TIE TUBE,STEEL,3000,101130,101130
TIE TUBE,STEEL,3300,101133,101133
TIE TUBE,STEEL,3600,101136,101136
TIE TUBE,STEEL,3900,101139,101139
TIE TUBE,STEEL,4200,101142,101142
TIE TUBE,STEEL,4500,101145,101145
TIE TUBE,STEEL,4800,101148,101148
TIE TUBE,STEEL,5100,101151,101151
TIE TUBE,STEEL,5400,101154,101154
TIE TUBE,STEEL,5700,101157,101157
TIE TUBE,STEEL,6000,101160,101160
TIE TUBE,STEEL,6500,101165,101165
TIE CLAMP MASONARY,STEEL,0,102521,102521
TIE CLAMP 90DEGREE,STEEL,0,101500,101500
TIE CLAMP COLUMN,STEEL,0,SP9001,SP7001
TIE CLAMP YOKE,STEEL,0,SP9002,SP7002
BRACING,STEEL,1300,109313,107313
BRACING,STEEL,1700,109315,107317
BRACING,STEEL,1900,109319,SP7011
BRACING,STEEL,2100,SP9011,107321
BRACING,STEEL,2700,109327,107327
BRACING,STEEL,3200,109331,107332
BRACING,STEEL,3600,109335,107336
STAIR,STEEL,1500,109850,107850
LADDER,STEEL,3000,102230,102230
LADDER,STEEL,3600,102236,102236
LADDER,STEEL,4200,102242,102242
LADDER,STEEL,4800,102248,102248
LADDER,STEEL,5400,102254,102254
LADDER,STEEL,6000,102260,102260
STANDARD,STEEL,500,109005,107005
STANDARD,STEEL,800,SP9011,107090
STANDARD,STEEL,1000,109010,107010
STANDARD,STEEL,1500,109015,107015
STANDARD,STEEL,2000,109020,107020
STANDARD,STEEL,2500,109025,107025
STANDARD,STEEL,3000,109030,107030
STANDARD OPENEND,STEEL,1000,109010,107045
STANDARD OPENEND,STEEL,1500,109015,107050
STANDARD OPENEND,STEEL,2000,109020,107055
STANDARD OPENEND,STEEL,2500,109025,107060
STANDARD OPENEND,STEEL,3000,109030,107065
JACK,STEEL,500,102622,102622
SOLEBOARD,TIMBER,500,103975,103975
SOLEBOARD,TIMBER,1500,103985,103985
SOLEBOARD,TIMBER,2700,SP9012,SP7012
HOPUP BRACKET,STEEL,1,109601,107601
HOPUP BRACKET,STEEL,2,109602,107602
HOPUP BRACKET,STEEL,3,109603,107603
TIE BAR,STEEL,800,109611,107611
TIE BAR,STEEL,1200,109612,107612
TIE BAR,STEEL,1800,109618,107618
TIE BAR,STEEL,2400,109624,107624
CORNER STAGE BOARD,STEEL,0,SP9003,SP7003
CORNER STAGE BOARD,STEEL,1,109610,107610
CORNER STAGE BOARD,STEEL,2,SP9004,SP7004
CORNER STAGE BOARD,STEEL,3,SP9007,SP7007
CORNER STAGE BOARD,STEEL,4,SP9009,SP7009
CORNER STAGE BOARD,STEEL,5,SP9010,SP7010
CORNER STAGE BOARD,STEEL,6,SP9005,SP7005
CORNER STAGE BOARD,STEEL,7,SP9006,SP7006
CORNER STAGE BOARD,STEEL,8,SP9008,SP7008
TEXT,STEEL,0,TEXT,TEXT
STANDARD CONNECTOR,STEEL,150,109000,SP7011
LADDER PUTLOG,STEEL,1200,109810,107230
LADDER PUTLOG,STEEL,1800,109810,107231
LADDER PUTLOG,STEEL,2400,109810,107232
STAIR RAIL,STEEL,1500,107851,107851
STAIR RAIL STOPEND,STEEL,1500,107852,107852
TOE BOARD CLIP,STEEL,0,109400,107400
PUTLOG CLIP,STEEL,0,101505,101505
