!File Type,Version Number Major,Version Number Minor,Version Number Build,
~Stock Code File,1,5,1,
!Last Updated,20040313,,,
!Code,Desc, Hire , Sale ,Kg
101103,STEEL SCAFFOLD TUBE 0.3M,$0.06,$4.89,1.6
101106,STEEL SCAFFOLD TUBE 0.6M,$0.10,$9.76,3.2
101109,STEEL SCAFFOLD TUBE 0.9M,$0.20,$14.66,4.7
101110,STEEL SCAFFOLD TUBE 1.0M,$0.22,$16.29,5.3
101112,STEEL SCAFFOLD TUBE 1.2M,$0.25,$19.54,6.3
101115,STEEL SCAFFOLD TUBE 1.5M,$0.29,$24.42,7.9
101118,STEEL SCAFFOLD TUBE 1.8M,$0.36,$29.32,9.5
101121,STEEL SCAFFOLD TUBE 2.1M,$0.44,$34.19,11.1
101124,STEEL SCAFFOLD TUBE 2.4M,$0.50,$39.09,12.6
101127,STEEL SCAFFOLD TUBE 2.7M,$0.54,$43.98,14.2
101130,STEEL SCAFFOLD TUBE 3.0M,$0.62,$48.85,15.8
101133,STEEL SCAFFOLD TUBE 3.3M,$0.68,$53.74,17.4
101136,STEEL SCAFFOLD TUBE 3.6M,$0.75,$58.62,19
101139,STEEL SCAFFOLD TUBE 3.9M,$0.82,$63.51,20.5
101142,STEEL SCAFFOLD TUBE 4.2M,$0.86,$68.40,22.1
101145,STEEL SCAFFOLD TUBE 4.5M,$0.92,$73.28,23.7
101148,STEEL SCAFFOLD TUBE 4.8M,$1.00,$78.16,25.3
101151,STEEL SCAFFOLD TUBE 5.1M,$1.06,$83.04,26.9
101154,STEEL SCAFFOLD TUBE 5.4M,$1.11,$87.95,28.4
101157,STEEL SCAFFOLD TUBE 5.7M,$1.18,$92.83,30
101160,STEEL SCAFFOLD TUBE 6.0M,$1.24,$97.71,31.6
101165,STEEL SCAFFOLD TUBE 6.5M,$1.35,$105.87,33.2
101203,TUBE ALUM 0.3M,$0.09,$8.57,0.5
101206,TUBE ALUM 0.6M,$0.23,$17.16,1
101209,TUBE ALUM 0.9M,$0.32,$25.72,1.5
101212,TUBE ALUM 1.2M,$0.47,$34.32,2
101215,TUBE ALUM 1.5M,$0.57,$42.89,2.6
101218,TUBE ALUM 1.8M,$0.68,$51.48,3.1
101221,TUBE ALUM 2.1M,$0.80,$60.05,3.6
101224,TUBE ALUM 2.4M,$0.91,$68.65,4.1
101227,TUBE ALUM 2.7M,$1.02,$77.21,4.6
101230,TUBE ALUM 3.0M,$1.13,$85.80,5.1
101233,TUBE ALUM 3.3M,$1.25,$94.36,5.6
101236,TUBE ALUM 3.6M,$1.38,$102.96,6.1
101239,TUBE ALUM 3.9M,$1.48,$111.54,6.6
101242,TUBE ALUM 4.2M,$1.60,$120.13,7.1
101245,TUBE ALUM 4.5M,$1.71,$128.69,7.7
101248,TUBE ALUM 4.8M,$1.81,$137.28,8.2
101251,TUBE ALUM 5.1M,$1.94,$145.85,8.2
101254,TUBE ALUM 5.4M,$2.05,$154.45,9.2
101257,TUBE ALUM 5.7M,$2.17,$163.01,9.7
101260,TUBE ALUM 6.0M,$2.28,$171.61,10.2
101265,TUBE ALUM 6.5M,$2.47,$185.89,10.7
101500,90 DEG. COUPLER 2X2,$0.24,$17.82,1.5
101501,SWIVEL COUPLER 2X2,$0.24,$19.03,1.5
101502,90 DEG. COUPLER 2X2.3/8,$0.25,$21.40,1.6
101503,SWIVEL COUPLER 2X2.3/8,$0.25,$23.11,1.6
101504,END TO END COUPLER,$0.24,$19.57,1
101505,PUTLOG COUPLER,$0.24,$12.92,0.6
101506,BASE PLATE 4.1/2 x 7 STD,$0.28,$13.80,1.5
101508,BASE PLATE 6 x 6 UNIVERSAL,$0.28,$13.80,1.2
101509,BEARER CLIP,$0.27,$16.93,1
101510,RAFTER CLIP,$0.27,$16.93,1
101514,ADJUST STAIR TREAD FITTING,$0.27,$20.99,2
101515,PUTLOG END ASSEMBLY,$0.27,$7.79,1
101516,BOARD RETAINING CLIP VIC,$0.24,$9.15,0.5
101517,GIRDER COUPLER,$0.79,$31.63,1.4
101520,HOARDING CLIP - K'S,$0.75,$43.32,0
101525,'C' CLAMP STANDARD CONNECTOR,$0.20,$16.90,1.5
102000,HANDRAIL POST (B/D) 300MM,$0.97,$29.97,
102002,HANDRAIL POST (B/D) 1000MM,$0.97,$47.83,5.2
102003,HANDRAIL POST L/DUTY,$2.12,$107.95,
102008,HANDRAIL POST - H/DUTY,$4.06,$140.62,19.3
102009,TIMBER RUNNERS,$0.75,$2.88,
102010,HANDRAIL POST (B/D) 700MM,$0.97,$39.26,
102011,P/FORM COVER PL 900X600X3MM,$0.68,$54.52,
102012,HANDRAIL POST-CLAMP TYPE,$1.05,$30.94,13.2
102015,GIN WHEEL,$7.04,$121.91,5
102020,CASTOR WHEEL POLY. TYRE,$4.65,$152.55,3.8
102025,NOT TO BE USED,$0.91,$28.22,0
102026,NOT TO BE USED,$0.00,$28.14,0.7
102027,NOT TO BE USED,$0.00,$23.70,
102041,12MM PLYWOOD HOARDING SQ M,$1.32,$16.93,5.3
102113,BOX SPANNER,$0.00,$42.20,0.7
102114,SCAFFOLD HAMMER,$0.00,$23.70,
102115,BOX SPANNER (BB),$0.00,$28.22,
102116,MAGNETIC LEVEL,$0.00,$22.58,
102117,SCAFF TAG KIT COMPLETE,$0.00,$100.00,
102118,SCAFF TAG PENS,$0.00,$4.50,
